country,iso3,who_region,month_start,month_lab,cases,deaths
Austria,AUT,EURO,01-11-23,nov-23,2,0
Austria,AUT,EURO,01-12-23,Dec 2023,5,0
Austria,AUT,EURO,01-01-24,janv-24,3,0
Austria,AUT,EURO,01-02-24,Feb 2024,4,1
Austria,AUT,EURO,01-03-24,mars-24,0,0
Austria,AUT,EURO,01-04-24,Apr 2024,1,0
Austria,AUT,EURO,01-05-24,May 2024,2,0
Bahamas,BHS,AMRO,01-06-22,Jun 2022,1,0
Bahamas,BHS,AMRO,01-07-22,Jul 2022,0,0
Bahamas,BHS,AMRO,01-08-22,Aug 2022,1,0
Bahamas,BHS,AMRO,01-09-22,sept-22,0,0
Bahamas,BHS,AMRO,01-10-22,oct-22,0,0
Bahamas,BHS,AMRO,01-11-22,nov-22,0,0
Bahamas,BHS,AMRO,01-12-22,Dec 2022,0,0
Bahamas,BHS,AMRO,01-01-23,janv-23,0,0
Bahamas,BHS,AMRO,01-02-23,Feb 2023,0,0
Bahamas,BHS,AMRO,01-03-23,mars-23,0,0
Bahamas,BHS,AMRO,01-04-23,Apr 2023,0,0
Bahamas,BHS,AMRO,01-05-23,May 2023,0,0
Bahamas,BHS,AMRO,01-06-23,Jun 2023,1,0
Bahamas,BHS,AMRO,01-07-23,Jul 2023,0,0
Bahamas,BHS,AMRO,01-08-23,Aug 2023,0,0
Bahamas,BHS,AMRO,01-09-23,sept-23,0,0
Bahamas,BHS,AMRO,01-10-23,oct-23,0,0
Bahamas,BHS,AMRO,01-11-23,nov-23,0,0
Bahamas,BHS,AMRO,01-12-23,Dec 2023,0,0
Bahamas,BHS,AMRO,01-01-24,janv-24,0,0
Bahamas,BHS,AMRO,01-02-24,Feb 2024,0,0
Bahamas,BHS,AMRO,01-03-24,mars-24,0,0
Bahamas,BHS,AMRO,01-04-24,Apr 2024,0,0
Bahamas,BHS,AMRO,01-05-24,May 2024,0,0
Bahrain,BHR,EMRO,01-09-22,sept-22,1,0
Bahrain,BHR,EMRO,01-04-23,Apr 2023,1,0
Barbados,BRB,AMRO,01-07-22,Jul 2022,1,0
Barbados,BRB,AMRO,01-08-22,Aug 2022,0,0
Barbados,BRB,AMRO,01-09-22,sept-22,0,0
Barbados,BRB,AMRO,01-10-22,oct-22,0,0
Barbados,BRB,AMRO,01-11-22,nov-22,0,0
Barbados,BRB,AMRO,01-12-22,Dec 2022,0,0
Barbados,BRB,AMRO,01-01-23,janv-23,0,0
Barbados,BRB,AMRO,01-02-23,Feb 2023,0,0
Barbados,BRB,AMRO,01-03-23,mars-23,0,0
Barbados,BRB,AMRO,01-04-23,Apr 2023,0,0
Barbados,BRB,AMRO,01-05-23,May 2023,0,0
Barbados,BRB,AMRO,01-06-23,Jun 2023,0,0
Barbados,BRB,AMRO,01-07-23,Jul 2023,0,0
Barbados,BRB,AMRO,01-08-23,Aug 2023,0,0
Barbados,BRB,AMRO,01-09-23,sept-23,0,0
Barbados,BRB,AMRO,01-10-23,oct-23,0,0
Barbados,BRB,AMRO,01-11-23,nov-23,0,0
Barbados,BRB,AMRO,01-12-23,Dec 2023,0,0
Barbados,BRB,AMRO,01-01-24,janv-24,0,0
Barbados,BRB,AMRO,01-02-24,Feb 2024,0,0
Barbados,BRB,AMRO,01-03-24,mars-24,0,0
Barbados,BRB,AMRO,01-04-24,Apr 2024,0,0
Barbados,BRB,AMRO,01-05-24,May 2024,0,0
Belgium,BEL,EURO,01-05-22,May 2022,10,0
Belgium,BEL,EURO,01-06-22,Jun 2022,107,0
Belgium,BEL,EURO,01-07-22,Jul 2022,276,0
Belgium,BEL,EURO,01-08-22,Aug 2022,313,1
