COUNTRY_AREA_TERRITORY,iso3,WHOREGION,month_start,cases,deaths
Bahamas,BHS,AMRO,01-01-24,0,0
Bahamas,BHS,AMRO,01-02-24,0,0
Bahamas,BHS,AMRO,01-03-24,0,0
Bahamas,BHS,AMRO,01-04-24,0,0
Bahamas,BHS,AMRO,01-05-24,0,0
Bahrain,BHR,EMRO,01-09-22,1,0
Bahrain,BHR,EMRO,01-04-23,1,0
Barbados,BRB,AMRO,01-07-22,1,0
Barbados,BRB,AMRO,01-08-22,0,0
Barbados,BRB,AMRO,01-09-22,0,0
Barbados,BRB,AMRO,01-10-22,0,0
Barbados,BRB,AMRO,01-11-22,0,0
Barbados,BRB,AMRO,01-12-22,0,0
Barbados,BRB,AMRO,01-01-23,0,0
Barbados,BRB,AMRO,01-02-23,0,0
Barbados,BRB,AMRO,01-03-23,0,0
Barbados,BRB,AMRO,01-04-23,0,0
Barbados,BRB,AMRO,01-05-23,0,0
Barbados,BRB,AMRO,01-06-23,0,0
Barbados,BRB,AMRO,01-07-23,0,0
Barbados,BRB,AMRO,01-08-23,0,0
Barbados,BRB,AMRO,01-09-23,0,0
Barbados,BRB,AMRO,01-10-23,0,0
Barbados,BRB,AMRO,01-11-23,0,0
Barbados,BRB,AMRO,01-12-23,0,0
Barbados,BRB,AMRO,01-01-24,0,0
Barbados,BRB,AMRO,01-02-24,0,0
Barbados,BRB,AMRO,01-03-24,0,0
Barbados,BRB,AMRO,01-04-24,0,0
Barbados,BRB,AMRO,01-05-24,0,0
Belgium,BEL,EURO,01-05-22,10,0
Belgium,BEL,EURO,01-06-22,107,0
Belgium,BEL,EURO,01-07-22,276,0
Belgium,BEL,EURO,01-08-22,313,1
Belgium,BEL,EURO,01-09-22,64,0
Belgium,BEL,EURO,01-10-22,15,0
Belgium,BEL,EURO,01-11-22,4,0
Belgium,BEL,EURO,01-12-22,1,0
Belgium,BEL,EURO,01-01-23,3,0
Belgium,BEL,EURO,01-02-23,0,1
Belgium,BEL,EURO,01-03-23,0,0
Belgium,BEL,EURO,01-04-23,0,0
Belgium,BEL,EURO,01-05-23,0,0
Belgium,BEL,EURO,01-06-23,2,0
Belgium,BEL,EURO,01-07-23,0,0
Belgium,BEL,EURO,01-08-23,0,0
Belgium,BEL,EURO,01-09-23,0,0
Belgium,BEL,EURO,01-10-23,0,0
Belgium,BEL,EURO,01-11-23,2,0
Belgium,BEL,EURO,01-12-23,3,0
Belgium,BEL,EURO,01-01-24,3,0
Belgium,BEL,EURO,01-02-24,2,0
Belgium,BEL,EURO,01-03-24,1,0
Belgium,BEL,EURO,01-04-24,3,0
Belgium,BEL,EURO,01-05-24,0,0
Benin,BEN,AFRO,01-06-22,3,0
Benin,BEN,AFRO,01-07-22,0,0
Benin,BEN,AFRO,01-08-22,0,0
Benin,BEN,AFRO,01-09-22,0,0
Benin,BEN,AFRO,01-10-22,0,0
Benin,BEN,AFRO,01-11-22,0,0
Benin,BEN,AFRO,01-12-22,0,0
Benin,BEN,AFRO,01-01-23,0,0
Benin,BEN,AFRO,01-02-23,0,0
Benin,BEN,AFRO,01-03-23,0,0
Benin,BEN,AFRO,01-04-23,0,0
Benin,BEN,AFRO,01-05-23,0,0
Benin,BEN,AFRO,01-06-23,0,0
Benin,BEN,AFRO,01-07-23,0,0
Benin,BEN,AFRO,01-08-23,0,0
Benin,BEN,AFRO,01-09-23,0,0
Benin,BEN,AFRO,01-10-23,0,0
Benin,BEN,AFRO,01-11-23,0,0
Benin,BEN,AFRO,01-12-23,0,0
Benin,BEN,AFRO,01-01-24,0,0
Benin,BEN,AFRO,01-02-24,0,0
Benin,BEN,AFRO,01-03-24,0,0
Benin,BEN,AFRO,01-04-24,0,0
Bermuda,BMU,AMRO,01-07-22,1,0
Bermuda,BMU,AMRO,01-08-22,0,0
Bermuda,BMU,AMRO,01-09-22,0,0
Bermuda,BMU,AMRO,01-10-22,0,0
Bermuda,BMU,AMRO,01-11-22,0,0
Bermuda,BMU,AMRO,01-12-22,0,0
Bermuda,BMU,AMRO,01-01-23,0,0
Bermuda,BMU,AMRO,01-02-23,0,0
Bermuda,BMU,AMRO,01-03-23,0,0
Bermuda,BMU,AMRO,01-04-23,0,0
Bermuda,BMU,AMRO,01-05-23,0,0
Bermuda,BMU,AMRO,01-06-23,0,0
Bermuda,BMU,AMRO,01-07-23,0,0
Bermuda,BMU,AMRO,01-08-23,0,0
Bermuda,BMU,AMRO,01-09-23,0,0
Bermuda,BMU,AMRO,01-10-23,0,0
Bermuda,BMU,AMRO,01-11-23,0,0
Bermuda,BMU,AMRO,01-12-23,0,0
Bermuda,BMU,AMRO,01-01-24,0,0
Bermuda,BMU,AMRO,01-02-24,0,0
Bermuda,BMU,AMRO,01-03-24,0,0
Bermuda,BMU,AMRO,01-04-24,0,0
Bermuda,BMU,AMRO,01-05-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-08-22,86,0
Bolivia (Plurinational State of),BOL,AMRO,01-09-22,109,0
Bolivia (Plurinational State of),BOL,AMRO,01-10-22,46,0
Bolivia (Plurinational State of),BOL,AMRO,01-11-22,18,0
Bolivia (Plurinational State of),BOL,AMRO,01-12-22,2,0
Bolivia (Plurinational State of),BOL,AMRO,01-01-23,3,0
Bolivia (Plurinational State of),BOL,AMRO,01-02-23,1,0
Bolivia (Plurinational State of),BOL,AMRO,01-03-23,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-04-23,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-05-23,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-06-23,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-07-23,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-08-23,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-09-23,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-10-23,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-11-23,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-12-23,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-01-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-02-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-03-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-04-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01-05-24,0,0
Bosnia and Herzegovina,BIH,EURO,01-07-22,1,0
Bosnia and Herzegovina,BIH,EURO,01-08-22,2,0
Bosnia and Herzegovina,BIH,EURO,01-09-22,2,0
Bosnia and Herzegovina,BIH,EURO,01-10-22,4,0
Bosnia and Herzegovina,BIH,EURO,01-11-22,0,0
Bosnia and Herzegovina,BIH,EURO,01-12-22,0,0
Bosnia and Herzegovina,BIH,EURO,01-01-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-02-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-03-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-04-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-05-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-06-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-07-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-08-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-09-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-10-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-11-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-12-23,0,0
Bosnia and Herzegovina,BIH,EURO,01-01-24,0,0
Bosnia and Herzegovina,BIH,EURO,01-02-24,0,0
Bosnia and Herzegovina,BIH,EURO,01-03-24,0,0
Bosnia and Herzegovina,BIH,EURO,01-04-24,0,0
Bosnia and Herzegovina,BIH,EURO,01-05-24,0,0
Brazil,BRA,AMRO,01-06-22,63,0
Brazil,BRA,AMRO,01-07-22,915,0
Brazil,BRA,AMRO,01-08-22,4219,2
Brazil,BRA,AMRO,01-09-22,2672,0
Brazil,BRA,AMRO,01-10-22,1314,6
Brazil,BRA,AMRO,01-11-22,917,6
Brazil,BRA,AMRO,01-12-22,411,0
Brazil,BRA,AMRO,01-01-23,247,1
Brazil,BRA,AMRO,01-02-23,104,0
Brazil,BRA,AMRO,01-03-23,28,0
Brazil,BRA,AMRO,01-04-23,25,1
Brazil,BRA,AMRO,01-05-23,33,0
Brazil,BRA,AMRO,01-06-23,13,0
Brazil,BRA,AMRO,01-07-23,6,0
Brazil,BRA,AMRO,01-08-23,0,0
Brazil,BRA,AMRO,01-09-23,0,0
Brazil,BRA,AMRO,01-10-23,0,0
Brazil,BRA,AMRO,01-11-23,54,0
Brazil,BRA,AMRO,01-12-23,85,0
Brazil,BRA,AMRO,01-01-24,106,0
Brazil,BRA,AMRO,01-02-24,0,0
Brazil,BRA,AMRO,01-03-24,0,0
Brazil,BRA,AMRO,01-04-24,0,0
Brazil,BRA,AMRO,01-05-24,0,0
Bulgaria,BGR,EURO,01-06-22,3,0
Bulgaria,BGR,EURO,01-07-22,1,0
Bulgaria,BGR,EURO,01-08-22,0,0
Bulgaria,BGR,EURO,01-09-22,2,0
Bulgaria,BGR,EURO,01-10-22,0,0
Bulgaria,BGR,EURO,01-11-22,0,0
Bulgaria,BGR,EURO,01-12-22,0,0
Bulgaria,BGR,EURO,01-01-23,0,0
Bulgaria,BGR,EURO,01-02-23,0,0
Bulgaria,BGR,EURO,01-03-23,0,0
Bulgaria,BGR,EURO,01-04-23,0,0
Bulgaria,BGR,EURO,01-05-23,0,0
Bulgaria,BGR,EURO,01-06-23,0,0
Bulgaria,BGR,EURO,01-07-23,0,0
Bulgaria,BGR,EURO,01-08-23,0,0
Bulgaria,BGR,EURO,01-09-23,0,0
Bulgaria,BGR,EURO,01-10-23,0,0
